source_global_identifier,destination_global_identifier,rel_type,rel_properties $
mapping__Chad Beard,mapping__c8795153da65a77831304647f2f10990,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad Beard,mapping__7fde4828627811f87d0156dfd4d95b8d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad Eastin,mapping__https://en.wikipedia.org/wiki/UFP_Industries,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chad Eastin,mapping__de5ef643ca98046ac199119aeec6fc15,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad Eastin,mapping__9fe1297a1eecda80b7e3f53ef90dccb8,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad F. Phipps,mapping__https://en.wikipedia.org/wiki/Zimmer_Biomet,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chad F. Phipps,mapping__75c5f2937ed8aa57811889eab021ed46,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad F. Phipps,mapping__a534fc1de51190e25134f585681bfaa7,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
"mapping__Chad M. Frazell, SPHR",mapping__https://en.wikipedia.org/wiki/Casey's,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
"mapping__Chad M. Frazell, SPHR",mapping__d0177adc7a896058f3de83499e8c1f41,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
"mapping__Chad M. Frazell, SPHR",mapping__910cb270de8b1ea98a9af30b8b9c941c,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad N. Boudreaux,mapping__https://en.wikipedia.org/wiki/Huntington_Ingalls_Industries,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chad N. Boudreaux,mapping__bbe3410b54bee700c0c3251b93fe6411,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad N. Boudreaux,mapping__40e1fc52215b0ec070f42d6902032176,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad Potter,KP__ad7faca6c6d17ae278b13b94983902bb,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chad Potter,mapping__f52f8abcfee66444beacab98b466ce42,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad Potter,mapping__b0f176c20f2e60e416d9b520fa645dee,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad T. Jerdee,mapping__https://en.wikipedia.org/wiki/Accenture,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chad T. Jerdee,mapping__1956aaf093f834b25a603b6c1b5cafc1,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad T. Jerdee,mapping__f970bf1d867d0574d148a536b2f0e99d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad Utermark,KP__ad7faca6c6d17ae278b13b94983902bb,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chad Utermark,mapping__9d1af02d66cae9c311b4e2f9b957c141,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad Utermark,mapping__9377939222f400d7bf78ece1c0dd96de,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad Wiegand,mapping__https://en.wikipedia.org/wiki/Schreiber_Foods,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chad Wiegand,mapping__468e854d349606b758d08294fae00996,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chad Wiegand,mapping__e4014613d990749bb96e3266fdeb5bb7,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chadi Habib,KP__aee52608d01f5d991200eac8cbf651c5,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chadi Habib,mapping__3290e83d09566c6684841b90c26b0348,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chadi Habib,mapping__c2b90e1e7f1e4ce45b571b21c6e62e48,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chae-Yang Han,KP__21c34686470740d58c9129fc624754b3,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chae-Yang Han,mapping__88f6c3092c539611bf6e0ee666055093,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chae-Yang Han,mapping__8db2391676d253f959052f64df5e3de4,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chafik Hilal,mapping__https://en.wikipedia.org/wiki/Ecolab,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chafik Hilal,mapping__7cd4ace3e1e0f976120230e34be0930b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chafik Hilal,mapping__ae79ae1e3f122a64ae3d593bb1e38c71,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chai Qiaolin,mapping__https://en.wikipedia.org/wiki/China_Coal_Energy,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chai Qiaolin,mapping__43e16f96a9bdff9c28bbcea3f4908acb,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chai Qiaolin,mapping__ca91e176444753b768311a8da82455ec,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,KP__fe309b5c04aada8f68c9acd03c8611ae,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""chairman of the board""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,mapping__208e62c7d675196172ad07aed54f1ae9,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,mapping__6fc3a304e6ba19076f974d0e93971410,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,mapping__1a1e66377506b4255a130df1e53026bb,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,mapping__15eb4c1f95566cb3d71295a29f00e8a6,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,mapping__070f7e197d093ea87143feb418bf83ee,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,mapping__3be3395b6b7b6100fb5c18c02eb177a0,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,mapping__2fe6403dbcefbe913dcb3a48f722114d,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,mapping__ee8017a4a3060fa6c6f8da346db2c4c7,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,mapping__6becb1958842648e6f1561689c252322,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,mapping__fd851dfd8022edde527b0acee409b5fc,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,mapping__74d989a2f4d59d1f056e622b89cf34cc,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,mapping__ab29a510328986d2a2dfaecd3f2979c9,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,mapping__5efcd45b9859f43e747e610a07e5cd88,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Chairperson,mapping__f34c7e1c9dad1c4cf548257e52474abe,NAMEVARIANT,"{""from"":""external""}"
mapping__Chan Hon Chew,mapping__https://en.wikipedia.org/wiki/Keppel_Corporation,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chan Hon Chew,mapping__fddea2d889a3e995c18c39e102958f73,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chan Hon Chew,mapping__ca28bbdb4293ee62797869d37167d033,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chan Loi Shun,mapping__https://en.wikipedia.org/wiki/CK_Hutchison_Holdings,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chan Loi Shun,mapping__955842a5f4073e6031bff9e1b8e5be77,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chan Loi Shun,mapping__8c05268199bb27abca451a136588f291,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__UNKNOWN,KP__581ef632ae00bbb9584d78a0b8f37914,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Chan Wai Kin,mapping__UNKNOWN,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Chan Wai Kin,mapping__63b234b11001097ad91d62376f096a53,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
