source_global_identifier,destination_global_identifier,rel_type,rel_properties $
mapping__Charl Keyter,KP__472ca31ec611966ca9911192c235a85d,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Charl Keyter,mapping__be1eba6535b6fff85b0925f9df84d683,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Charl Keyter,mapping__e346548a86f580bddeb95bb0c3fa6ea8,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Charl van Zyl,mapping__https://en.wikipedia.org/wiki/UCB_(company),ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Charl van Zyl,mapping__ecef5f2ffe8ca3777117e27cd18750c0,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Charl van Zyl,mapping__42212a41f10dbf587afb377d9213f923,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Charles_Anderson_(vocalist),mapping__https://en.wikipedia.org/wiki/Community_Health_Systems,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__https://en.wikipedia.org/wiki/Charles_Anderson_(vocalist),mapping__84aba312d7714734be0ed85086754fc8,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Charles_Anderson_(vocalist),mapping__9e7edd2810f9701ff2b72d27bb3146cf,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Charles_Anderson_(vocalist),mapping__bb8e467dd9f65e78831412f69e9f42f9,NAMEVARIANT,"{""from"":""external""}"
mapping__Charles B. Baxter,mapping__https://en.wikipedia.org/wiki/Rakuten,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Charles B. Baxter,mapping__31ffdeb446d70c6e9b113ca5f8412955,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
